message,label
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://account-verify-secure.top/login",spam
"Your mom called, please call her back.",ham
Final notice: Pay ₹500 electricity bill at http://loan-offer-today.top/apply before disconnection.,spam
Thanks for your help with the assignment!,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://kyc-update-banking.info/secure",spam
"Your mom called, please call her back.",ham
Your account has been suspended. Restore access at http://quickpay-bill.info/secure,spam
Claim your free holiday package to Dubai. Limited seats 👉 http://appleid-support-login.net/verify,spam
"Your mom called, please call her back.",ham
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://investment-doublers.info/join,spam
Meeting postponed to 4 PM. Check your email for details.,ham
Win ₹25 lakh lottery today! Register now 👉 http://loan-offer-today.top/apply,spam
Call me when you reach home safely.,ham
Final notice: Pay ₹500 electricity bill at http://secure-bank-login.xyz/restore before disconnection.,spam
Your account has been suspended. Restore access at http://loan-offer-today.top/apply,spam
Can you bring my charger tomorrow?,ham
Your Apple ID has been locked. Verify immediately at http://free-iphone-prize.online/winner,spam
Final notice: Pay ₹500 electricity bill at http://flashsale-iphone-deals.shop/buy before disconnection.,spam
Call me when you reach home safely.,ham
Join Zoom with ID 123-456 at 8 PM.,ham
Good luck for your exam tomorrow 🤞,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://freesim-datarecharge.online/offer",spam
Are you free tonight for a quick call?,ham
Meeting postponed to 4 PM. Check your email for details.,ham
Claim your free holiday package to Dubai. Limited seats 👉 http://flashsale-iphone-deals.shop/buy,spam
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://account-verify-secure.top/login",spam
Meeting postponed to 4 PM. Check your email for details.,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://workfromhome-fastcash.biz/apply",spam
Don’t forget to water the plants.,ham
Meeting postponed to 4 PM. Check your email for details.,ham
Congrats on your new job!,ham
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://freesim-datarecharge.online/offer,spam
Claim your free holiday package to Dubai. Limited seats 👉 http://workfromhome-fastcash.biz/apply,spam
Meeting postponed to 4 PM. Check your email for details.,ham
Are you free tonight for a quick call?,ham
Urgent: Your bank account will be closed today. Verify now 👉 http://account-verify-secure.top/login,spam
You have an unclaimed reward waiting. Click here 👉 http://holiday-trip-dubai.net/win,spam
Final notice: Pay ₹500 electricity bill at http://investment-doublers.info/join before disconnection.,spam
Congrats on your new job!,ham
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://quickpay-bill.info/secure,spam
Your account has been suspended. Restore access at http://flashsale-iphone-deals.shop/buy,spam
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://exclusive-iphone-deals.biz/order,spam
Meeting postponed to 4 PM. Check your email for details.,ham
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://freesim-datarecharge.online/offer",spam
Congratulations! You’ve won an iPhone 15 Pro. Claim now at http://workfromhome-fastcash.biz/apply,spam
Thanks for your help with the assignment!,ham
Final notice: Pay ₹500 electricity bill at http://workfromhome-fastcash.biz/apply before disconnection.,spam
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://loan-offer-today.top/apply",spam
Your order has been shipped and will arrive soon.,ham
I just sent you the payment via UPI.,ham
"Your mom called, please call her back.",ham
I just sent you the payment via UPI.,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://secure-bank-login.xyz/restore",spam
Your account has been suspended. Restore access at http://exclusive-iphone-deals.biz/order,spam
I just sent you the payment via UPI.,ham
Win ₹25 lakh lottery today! Register now 👉 http://holiday-trip-dubai.net/win,spam
Your account has been suspended. Restore access at http://exclusive-iphone-deals.biz/order,spam
Your Apple ID has been locked. Verify immediately at http://quickpay-bill.info/secure,spam
"Earn ₹50,000 monthly from home. Register now 👉 http://appleid-support-login.net/verify",spam
Your Apple ID has been locked. Verify immediately at http://flashsale-iphone-deals.shop/buy,spam
Claim your free holiday package to Dubai. Limited seats 👉 http://loan-offer-today.top/apply,spam
Let’s plan a trip after exams.,ham
Meeting postponed to 4 PM. Check your email for details.,ham
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://appleid-support-login.net/verify,spam
Call me when you reach home safely.,ham
Let’s catch up tomorrow after class.,ham
Don’t forget to water the plants.,ham
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://exclusive-iphone-deals.biz/order,spam
Congrats on your new job!,ham
Are you free tonight for a quick call?,ham
Join Zoom with ID 123-456 at 8 PM.,ham
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://workfromhome-fastcash.biz/apply",spam
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://quickpay-bill.info/secure,spam
"I’m feeling unwell today, won’t come to class.",ham
Urgent: Your bank account will be closed today. Verify now 👉 http://flashsale-iphone-deals.shop/buy,spam
"Earn ₹50,000 monthly from home. Register now 👉 http://exclusive-iphone-deals.biz/order",spam
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://holiday-trip-dubai.net/win,spam
Are you free tonight for a quick call?,ham
Are you free tonight for a quick call?,ham
Don’t forget to water the plants.,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://quickpay-bill.info/secure",spam
Your order has been shipped and will arrive soon.,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://workfromhome-fastcash.biz/apply",spam
Win ₹25 lakh lottery today! Register now 👉 http://account-verify-secure.top/login,spam
Don’t forget to water the plants.,ham
Congratulations! You’ve won an iPhone 15 Pro. Claim now at http://reward-center-claim.xyz/get,spam
Urgent: Your bank account will be closed today. Verify now 👉 http://lottery-winner-prize.online/claim,spam
Your Apple ID has been locked. Verify immediately at http://appleid-support-login.net/verify,spam
Good luck for your exam tomorrow 🤞,ham
Congratulations! You’ve won an iPhone 15 Pro. Claim now at http://appleid-support-login.net/verify,spam
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://free-iphone-prize.online/winner,spam
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://holiday-trip-dubai.net/win",spam
Win ₹25 lakh lottery today! Register now 👉 http://lottery-winner-prize.online/claim,spam
Meeting postponed to 4 PM. Check your email for details.,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://flashsale-iphone-deals.shop/buy",spam
Don’t forget to water the plants.,ham
"Your mom called, please call her back.",ham
FLASH SALE! iPhone 14 Pro Max at 90% off. Buy now 👉 http://loan-offer-today.top/apply,spam
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://free-iphone-prize.online/winner",spam
Congratulations! You’ve won an iPhone 15 Pro. Claim now at http://secure-bank-login.xyz/restore,spam
